Symbol,pleiotropy_class,master_score,Peak -logP_adipose,Peak -logP_liver,Effect Size_adipose,Effect Size_liver,Peak_Chr_adipose,Peak_Chr_liver,Peak_Pos_adipose,Peak_Pos_liver
LOC120103010,tissue_specific,19.474877926034736,,30.1,,0.526,,Chr5,,148.448833
LOC120094884,tissue_specific,19.454670301784,45.3,,1.178,,Chr6,,72.936638,
LOC120099121,tissue_specific,19.453342361417125,24.2,,-0.932,,Chr1,,47.638592,
LOC102552389,tissue_specific,19.42685998230209,38.0,,0.615,,Chr15,,50.896269,
LOC120101738,tissue_specific,19.386074777850624,33.3,,0.711,,Chr3,,138.348233,
LOC120094216,tissue_specific,19.36867017586812,,35.3,,-1.065,,Chr8,,84.736853
LOC102551556,tissue_specific,19.36649243420306,20.1,,0.523,,Chr12,,5.581347,
LOC108352981,tissue_specific,19.365464235771512,20.4,,-0.516,,Chr15,,97.807893,
LOC102549543,tissue_specific,19.364908936967016,24.9,,0.895,,Chr2,,234.104746,
LOC108352312,tissue_specific,19.33418001473632,36.7,,0.622,,Chr11,,33.611309,
LOC102553657,tissue_specific,19.319595761755146,,20.7,,-0.787,,Chr1,,254.116818
LOC108348835,tissue_specific,19.24569643426516,36.2,,0.612,,Chr18,,77.007959,
Rpl12-ps2,tissue_specific,19.231226422191888,88.4,,1.115,,Chr3,,16.490648,
LOC120093196,tissue_specific,19.22966227336407,,21.2,,-0.736,,Chr6,,10.91357
LOC108348536,tissue_specific,19.221613184823745,32.7,,-0.685,,Chr17,,20.134771,
LOC120100841,tissue_specific,19.208702275540325,,28.7,,-0.851,,Chr2,,154.418888
LOC102552725,tissue_specific,19.20756949892941,45.3,,0.398,,Chr11,,25.911036,
LOC108352578,tissue_specific,19.1769994040987,36.0,,0.6,,Chr13,,87.830037,
LOC120098188,tissue_specific,19.163248294993828,30.7,,0.716,,Chr18,,70.329282,
RGD1560124,tissue_specific,19.15865901906764,70.3,,-1.505,,Chr20,,6.323102,
LOC120097800,tissue_specific,19.1565679906662,59.4,,-0.789,,Chr4,,105.344429,
LOC102553540,tissue_specific,19.15510534405136,,22.9,,-0.65,,Chr16,,56.800466
LOC102551127,tissue_specific,19.153137079988102,20.0,,-0.474,,Chr8,,61.531758,
LOC108352704,tissue_specific,19.136164043626184,30.1,,-0.723,,Chr14,,7.500727,
LOC120095044,tissue_specific,19.12473683016336,30.6,,0.709,,Chr10,,13.04361,
LOC120103631,tissue_specific,19.11962927535297,32.9,,-0.656,,Chr6,,131.511713,
LOC120099949,tissue_specific,19.090661171638036,,26.8,,-1.249,,Chr1,,191.798296
LOC100912066,tissue_specific,19.074611335536783,,20.3,,0.708,,Chr6,,22.38191
Fdxacb1,tissue_specific,19.059796724811825,27.8,,0.276,,Chr8,,51.101184,
LOC103690066,tissue_specific,19.05531253769165,37.9,,-0.528,,Chr6,,100.909467,
LOC102549526,tissue_specific,19.03869417605002,38.7,,0.506,,Chr4,,104.785882,
LOC304725,tissue_specific,19.008330953061037,,34.5,,0.956,,Chr13,,12.697811
LOC102555924,tissue_specific,19.0080404878509,27.4,,0.753,,Chr5,,23.301841,
LOC103690438,tissue_specific,18.99155587559873,31.4,,0.659,,Chr8,,80.38578,
LOC102547718,tissue_specific,18.972780805051908,30.4,,0.677,,Chr2,,111.374519,
LOC120098859,tissue_specific,18.968768323367808,34.0,,0.595,,Chr20,,4.680142,
LOC102550046,tissue_specific,18.93937689503181,28.0,,0.723,,Chr2,,185.404611,
LOC120101717,tissue_specific,18.91053718292737,35.2,,0.554,,Chr3,,129.807011,
LOC102556051,tissue_specific,18.90300542043284,29.3,,-0.685,,Chr2,,32.342678,
LOC120100024,tissue_specific,18.88688861900173,42.1,,-0.393,,Chr1,,233.31115,
LOC120093142,tissue_specific,18.884096600496544,25.1,,-0.775,,Chr19,,13.144002,
LOC102547634,tissue_specific,18.8769995235178,29.6,,0.672,,Chr7,,128.577171,
LOC103694321,tissue_specific,18.87577018810952,,24.0,,0.507,,Chr19,,31.054896
LOC102548820,tissue_specific,18.796099073734037,,32.2,,-0.954,,Chr1,,179.97268
LOC120100722,tissue_specific,18.789510704130823,28.0,,0.687,,Chr2,,51.622148,
LOC102551595,tissue_specific,18.69268450549149,27.1,,0.684,,Chr14,,31.142847,
LOC120102240,tissue_specific,18.64631884660259,20.5,,-0.341,,Chr4,,46.045441,
LOC102547840,tissue_specific,18.64021164021164,,20.0,,0.554,,Chr9,,12.406679
Ugt2b-ps1,tissue_specific,18.638028590470757,,37.0,,0.731,,Chr14,,19.903596
LOC108352212,tissue_specific,18.58960552289443,26.0,,0.684,,Chr10,,7.033512,
LOC120101507,tissue_specific,18.544239060948573,,31.9,,0.869,,Chr3,,8.470212
LOC120103533,tissue_specific,18.533010976455703,,27.6,,-1.011,,Chr6,,69.282694
LOC681182,tissue_specific,18.52253777832184,,31.6,,-0.871,,Chr12,,18.368308
LOC120093136,tissue_specific,18.520320724690905,,27.9,,-0.996,,Chr9,,113.311047
LOC120100740,tissue_specific,18.498204594605625,,31.8,,-0.855,,Chr2,,58.827052
LOC120093266,tissue_specific,18.41607159859088,,27.3,,0.977,,Chr6,,117.663609
LOC102547647,tissue_specific,18.40116099246824,24.3,,0.677,,Chr2,,112.752818,
LOC102555043,tissue_specific,18.385954164561905,48.2,,-0.856,,Chr13,,101.53414,
LOC108352708,tissue_specific,18.363794756785097,26.7,,0.614,,Chr14,,8.355606,
LOC120100100,tissue_specific,18.332965522512293,36.1,,0.395,,Chr1,,49.931211,
LOC680920,tissue_specific,18.296025613008084,23.8,,0.663,,Chr9,,13.817495,
LOC102548271,tissue_specific,18.29078430880823,22.9,,-0.682,,Chr1,,167.631608,
LOC102547860,tissue_specific,18.266751215387863,20.6,,-0.728,,Chr14,,72.131931,
LOC102548458,tissue_specific,18.256502668419746,24.4,,0.64,,Chr15,,16.121154,
LOC120096929,tissue_specific,18.244975142914807,22.5,,0.68,,Chr15,,16.121154,
LOC108350763,tissue_specific,18.23883938967288,25.1,,0.62,,Chr4,,161.826359,
LOC120095880,tissue_specific,18.2154826512153,,25.1,,-0.976,,Chr12,,5.581347
LOC102548908,tissue_specific,18.19412529690573,26.0,,-0.589,,Chr13,,40.507666,
LOC108349479,tissue_specific,18.16495121132762,25.2,,-0.6,,Chr9,,113.311047,
LOC120102238,tissue_specific,18.15463578966476,27.4,,0.548,,Chr4,,45.559864,
LOC498300,tissue_specific,18.148903034507143,,28.3,,0.842,,Chr13,,93.080372
LOC103690435,tissue_specific,18.12134891036044,27.8,,-0.531,,Chr8,,76.393685,
LOC102553843,tissue_specific,18.11937610686576,30.4,,0.472,,Chr10,,35.142813,
LOC120095939,tissue_specific,18.11614104350796,27.7,,0.532,,Chr12,,27.53009,
LOC102547662,tissue_specific,18.10447976861356,22.6,,0.644,,Chr6,,70.970136,
LOC102554479,tissue_specific,18.07907574395112,37.3,,-0.307,,Chr3,,164.153483,
LOC102553885,tissue_specific,18.06063573672828,,31.7,,0.693,,Chr4,,83.871948
LOC103693208,tissue_specific,18.010855195984654,23.6,,0.599,,Chr14,,94.966,
LOC685275,tissue_specific,18.00461913070062,23.8,,-0.593,,Chr12,,19.032032,
C7h12orf40,tissue_specific,18.003490620226962,21.7,,-0.64,,Chr7,,122.518166,
LOC102547959,tissue_specific,18.001101726037454,,21.6,,-1.014,,Chr6,,33.759201
LOC100912259,tissue_specific,17.98692241460639,23.7,,0.591,,Chr4,,169.309327,
LOC120102953,tissue_specific,17.98494987826607,,30.8,,0.695,,Chr5,,128.754736
LOC120095700,tissue_specific,17.983670632574903,20.6,,0.66,,Chr11,,80.490505,
LOC120103526,tissue_specific,17.97780237811191,29.6,,-0.456,,Chr6,,61.158879,
RGD1566006,tissue_specific,17.973721827542104,45.8,,0.811,,Chr12,,19.031953,
Shisal1,tissue_specific,17.95466601379198,,26.2,,0.84,,Chr7,,116.128108
LOC100910809,tissue_specific,17.89602290502033,,29.4,,-0.709,,Chr6,,10.388999
LOC102556643,tissue_specific,17.860393629031158,,22.8,,0.92,,Chr2,,52.096109
LOC120093086,tissue_specific,17.837257382244527,,28.1,,-0.731,,Chr9,,7.458792
LOC120095656,tissue_specific,17.833871316368658,22.2,,-0.588,,Chr11,,51.061971,
LOC108351021,tissue_specific,17.793841215435044,,27.0,,0.752,,Chr5,,132.015366
LOC102547720,tissue_specific,17.7705660584652,26.5,,-0.476,,Chr2,,238.441787,
LOC102552527,tissue_specific,17.767245013357027,25.3,,-0.262,,Chr1,,58.660722,
LOC102547278,tissue_specific,17.766536858107422,29.7,,-0.403,,Chr10,,81.774513,
LOC102550678,tissue_specific,17.760167043433917,26.7,,0.469,,Chr14,,3.574187,
LOC102552854,tissue_specific,17.730942801834757,24.7,,-0.507,,Chr14,,31.142847,
LOC108351976,tissue_specific,17.7061478145708,43.3,,-0.803,,Chr9,,97.359745,
LOC108351542,tissue_specific,17.68064906625318,,28.3,,-0.665,,Chr7,,127.401498
LOC102553833,tissue_specific,17.674120319364533,,21.7,,-0.887,,Chr8,,13.603955
LOC108349559,tissue_specific,17.670437921773324,21.3,,-0.569,,Chr1,,84.965439,
LOC102546491,tissue_specific,17.644649367616168,26.8,,0.439,,Chr1,,11.644866,
LOC120094159,tissue_specific,17.628085853021584,,21.6,,-0.873,,Chr8,,53.603588
LOC103693272,tissue_specific,17.591475625965057,24.5,,0.478,,Chr10,,6.423694,
LOC120098834,tissue_specific,17.58160933610805,,24.7,,-0.75,,Chr20,,3.2101
LOC120095151,tissue_specific,17.55799648191338,70.1,,1.125,,Chr7,,109.093977,
LOC120101877,tissue_specific,17.555036082480378,38.4,,0.877,,Chr3,,8.469538,
LOC680254,tissue_specific,17.549068710166267,30.8,,0.326,,Chr13,,69.694938,
LOC120097095,tissue_specific,17.53206581902991,22.4,,-0.511,,Chr15,,99.417966,
LOC120095647,tissue_specific,17.49493364477834,30.4,,-0.322,,Chr11,,42.949805,
LOC120102816,tissue_specific,17.453981253590037,21.7,,-0.508,,Chr5,,18.138659,
Adh1,tissue_specific,17.43941186871778,,29.5,,-0.533,,Chr2,,227.30223
LOC120100951,tissue_specific,17.345727841487864,21.3,,0.491,,Chr2,,226.754365,
LOC120103580,tissue_specific,17.345608737639584,,23.9,,0.688,,Chr6,,106.792796
LOC102554492,tissue_specific,17.34067044269854,24.8,,0.411,,Chr17,,18.890124,
LOC102550746,tissue_specific,17.323424599774214,,25.3,,-0.632,,Chr4,,83.872142
LOC120101609,tissue_specific,17.320738292460657,,23.8,,-0.682,,Chr3,,89.61055
LOC100912427,tissue_specific,17.269539651320116,55.3,,0.428,,Chr5,,133.068819,
LOC103692782,tissue_specific,17.253047873922092,20.0,,0.498,,Chr7,,11.404448,
LOC102553445,tissue_specific,17.224357666517047,,20.7,,-0.751,,Chr20,,2.611182
LOC108350210,tissue_specific,17.21695842004325,,21.0,,0.738,,Chr2,,41.213503
LOC120097392,tissue_specific,17.215765231607367,24.4,,0.39,,Chr16,,1.089479,
Acot5-ps1,tissue_specific,17.164585628595912,,21.3,,-0.708,,Chr6,,104.221203
LOC120097448,tissue_specific,17.12702493165218,,21.5,,-0.687,,Chr16,,56.494473
LOC120096689,tissue_specific,17.101225598200116,23.0,,0.394,,Chr14,,94.990282,
LOC120097510,tissue_specific,17.07723643584826,,39.0,,1.207,,Chr17,,14.42663
LOC102550575,tissue_specific,17.055399713633005,22.2,,-0.401,,Chr2,,185.553302,
LOC102553902,tissue_specific,17.014302036152934,,20.6,,0.675,,Chr16,,77.866921
LOC102550314,tissue_specific,16.9863304362019,,23.2,,-1.71,,Chr15,,16.723033
LOC103691053,tissue_specific,16.953348929467495,20.8,,-0.408,,Chr1,,79.715297,
LOC120098953,tissue_specific,16.95134268862545,22.6,,-0.367,,Chr20,,31.29191,
LOC100360821,tissue_specific,16.94915254237288,20.0,,-0.425,,Chr5,,56.981038,
LOC102548752,tissue_specific,16.944245611646704,27.1,,-0.264,,Chr16,,18.201895,
LOC103693092,tissue_specific,16.909763347174007,23.8,,0.33,,Chr8,,51.101184,
LOC120100903,tissue_specific,16.90780726235301,26.8,,0.262,,Chr2,,192.1739,
LOC120101815,tissue_specific,16.894022715900775,20.7,,0.396,,Chr3,,160.807216,
LOC120096621,tissue_specific,16.84828042470208,21.9,,-0.358,,Chr14,,67.625451,
LOC108353429,tissue_specific,16.832354693827348,28.6,,-0.924,,Chr4,,148.389881,
LOC103693391,tissue_specific,16.785836178493334,21.9,,0.343,,Chr10,,61.152571,
LOC120101849,tissue_specific,16.770988802071205,29.5,,0.889,,Chr3,,9.13289,
LOC120102855,tissue_specific,16.75619890915521,,24.2,,-0.455,,Chr5,,55.748606
LOC120095179,tissue_specific,16.74939782919964,21.6,,0.341,,Chr10,,80.874886,
LOC102551940,tissue_specific,16.70362210065358,22.0,,0.321,,Chr10,,12.170043,
Slc25a34,tissue_specific,16.702683587002355,,21.4,,0.53,,Chr5,,154.490878
Ybx1-ps20,tissue_specific,16.67300184980182,86.2,,0.55,,Chr5,,133.068819,
LOC102547700,tissue_specific,16.601638191182808,22.2,,0.292,,Chr14,,81.750431,
LOC120098139,tissue_specific,16.480276144721614,21.2,,1.006,,Chr19,,24.293787,
LOC102547830,tissue_specific,16.476682824070593,20.6,,-0.298,,Chr17,,21.654827,
LOC361346,tissue_specific,16.472636905039128,23.4,,0.234,,Chr18,,63.698544,
LOC108349848,tissue_specific,16.400737054671254,35.5,,-0.665,,Chr4,,105.344429,
LOC120095319,tissue_specific,16.211958150771387,25.8,,0.838,,Chr10,,36.874929,
LOC102546403,tissue_specific,16.074869765101127,,29.8,,-1.141,,Chr10,,8.602467
LOC685989,tissue_specific,15.93522939024224,,50.8,,-1.886,,Chr19,,13.144002
RGD1565766,tissue_specific,15.89278314566622,69.3,,-0.743,,Chr6,,20.949751,
LOC102557393,tissue_specific,15.699965487880752,27.0,,-0.688,,Chr2,,33.24153,
LOC102548590,tissue_specific,15.614001441764936,,29.0,,-0.994,,Chr7,,79.391659
LOC689268,tissue_specific,15.434508507773288,,24.3,,-1.086,,Chr9,,5.01486
LOC120095308,tissue_specific,15.222412644006472,,27.0,,0.914,,Chr10,,103.928376
LOC102548633,tissue_specific,15.148132225601785,21.2,,0.686,,Chr9,,113.311047,
LOC502907,tissue_specific,15.036794218204964,21.7,,0.648,,Chr4,,165.205943,
LOC498369,tissue_specific,14.914629833652969,,52.1,,1.456,,Chr10,,86.167301
LOC120102902,tissue_specific,14.90716598179814,32.8,,0.367,,Chr13,,75.013561,
LOC108348989,tissue_specific,14.81015587774828,27.5,,0.463,,Chr12,,6.044027,
LOC102546488,tissue_specific,14.618714380925176,,27.2,,-0.679,,Chr12,,34.958628
LOC103693496,tissue_specific,14.601824484975284,23.1,,0.512,,Chr9,,112.810766,
LOC102546462,tissue_specific,14.54249827140856,23.0,,-0.5,,Chr15,,53.519327,
LOC120094596,tissue_specific,14.530545613915669,46.5,,0.929,,Chr7,,0.194932,
LOC102550711,tissue_specific,14.530327076966804,30.6,,0.326,,Chr9,,112.44467,
LOC102556004,tissue_specific,14.46891102918961,30.3,,-0.318,,Chr5,,11.539025,
LOC108352035,tissue_specific,14.412318318770172,20.9,,-0.516,,Chr9,,97.359745,
LOC678756,tissue_specific,14.309457873121984,35.7,,1.119,,Chr3,,9.13289,
LOC120101456,tissue_specific,14.280768629080695,46.5,,0.869,,Chr2,,122.277665,
RGD1564597,tissue_specific,14.24107397886318,,51.7,,-1.215,,Chr8,,44.681539
LOC120093104,tissue_specific,14.182327884239903,21.2,,0.454,,Chr4,,165.066174,
LOC108348833,tissue_specific,14.157240788346185,,23.6,,0.627,,Chr18,,77.007959
Ugt1a7c,tissue_specific,13.912730911752869,20.1,,0.414,,Chr9,,86.919449,
LOC103690742,tissue_specific,13.872179768732972,21.0,,-0.384,,Chr9,,7.985735,
LOC100910577,tissue_specific,13.837053358904257,,20.6,,-0.608,,Chr7,,5.080344
RGD1304624,tissue_specific,13.655706381876,21.0,,-0.332,,Chr6,,76.527425,
LOC120094466,tissue_specific,13.596665579952877,38.4,,0.887,,Chr4,,119.127967,
LOC103693420,tissue_specific,13.390674801495605,40.2,,-0.797,,Chr4,,105.344429,
LOC100912041,tissue_specific,13.271653369350132,20.5,,0.251,,Chr1,,202.433592,
LOC501467,tissue_specific,13.265495572693512,,35.3,,-1.404,,Chr19,,13.144002
LOC103691580,tissue_specific,12.979470662907351,37.5,,0.759,,Chr7,,0.798459,
LOC680933,tissue_specific,12.881123064962791,50.0,,-0.454,,Chr7,,0.798459,
LOC120094351,tissue_specific,12.82495477482624,,23.2,,1.649,,Chr1,,81.358613
LOC120101875,tissue_specific,12.689936672052468,32.5,,0.802,,Chr3,,9.13289,
LOC120098812,tissue_specific,12.612967723507568,,29.9,,-1.341,,Chr7,,120.551699
LOC108351646,tissue_specific,12.474641951690195,35.8,,0.676,,Chr1,,178.794376,
LOC120095980,tissue_specific,12.353849534325228,34.2,,-0.683,,Chr7,,133.200936,
LOC100360260,tissue_specific,12.32482591681027,37.0,,0.613,,Chr4,,80.894921,
LOC120099587,tissue_specific,12.188627241645737,40.3,,-0.506,,Chr1,,143.735958,
Eef1e1-ps4,tissue_specific,12.054894570849555,27.9,,0.753,,Chr17,,25.548833,
RGD1565987,tissue_specific,12.016022632989213,,25.5,,1.265,,Chr12,,11.169909
Eef1a1-ps15,tissue_specific,12.007329944219336,35.3,,0.575,,Chr8,,79.364511,
LOC120093807,tissue_specific,11.95709032979972,28.5,,-0.716,,Chr2,,31.925135,
LOC685085,tissue_specific,11.545259240948328,35.7,,-0.455,,Chr8,,44.681539,
LOC120101061,tissue_specific,11.541926796425509,,24.7,,1.113,,Chr7,,0.194932
LOC100360413,tissue_specific,11.202718695179168,32.4,,-0.447,,Chr8,,79.366724,
LOC120093567,tissue_specific,11.117102367244772,25.8,,0.575,,Chr2,,153.918888,
LOC102554611,tissue_specific,11.064906625317937,,33.1,,0.647,,Chr15,,38.397019
Eda2r,tissue_specific,11.04075706260796,,20.6,,-1.063,,Chr7,,120.551699
LOC120101646,tissue_specific,11.016957511879212,20.2,,-0.677,,Chr3,,105.063132,
LOC120102195,tissue_specific,10.982726027511768,22.9,,0.608,,Chr7,,0.194932,
LOC678760,tissue_specific,10.7516627902232,,32.5,,0.549,,Chr1,,203.288832
LOC108351926,tissue_specific,10.702646446625035,20.0,,-0.606,,Chr4,,105.344429,
LOC301444,tissue_specific,10.62983662273238,21.0,,-0.566,,Chr13,,32.378736,
LOC685291,tissue_specific,10.154071625793987,,23.8,,-0.619,,Chr19,,14.059434
LOC120102190,tissue_specific,10.10018068109488,22.9,,0.396,,Chr7,,0.194932,
LOC302022,tissue_specific,10.093927897137164,22.7,,-0.399,,Chr3,,8.469538,
Eno1-ps20,trans_both_hotspot,10.063810400686894,159.4,160.6,3.32,4.484,Chr5,Chr5,160.724189,160.724189
LOC108350502,tissue_specific,9.835992437534852,,20.5,,0.611,,Chr10,,13.286123
LOC102548673,tissue_specific,9.769234535525388,23.1,,-0.312,,Chr2,,81.446771,
Rrs1-ps9,tissue_specific,9.64736376370782,20.6,,0.339,,Chr2,,96.993538,
LOC100912582,tissue_specific,9.57866673354136,20.4,,0.327,,Chr7,,1.298442,
RGD1308750,tissue_specific,9.539143788953016,21.0,,0.304,,Chr1,,225.082636,
RGD1566212,trans_both_hotspot,9.052822649503751,138.4,42.8,2.589,0.782,Chr7,Chr7,133.796878,133.796878
LOC691532,trans_both_hotspot,6.896223609872138,169.4,144.0,2.334,4.115,Chr8,Chr8,44.681539,44.681539
LOC100361008,trans_both_hotspot,6.742945615348699,126.9,102.2,2.293,2.411,Chr8,Chr8,58.034773,58.034773
LOC108349532,trans_both_hotspot,4.794318517005877,128.8,122.4,2.743,2.332,Chr12,Chr12,5.976284,5.976284
Rfk-ps3,trans_both_hotspot,3.8009072237864,34.1,150.6,1.731,3.355,Chr1,Chr1,214.758666,214.758666
LOC120095234,trans_both_hotspot,1.3591827912303387,112.0,42.0,2.296,1.183,Chr14,Chr14,0.492117,0.492117
LOC120101677,trans_both_hotspot,1.271936392611778,141.1,101.0,1.62,2.373,Chr15,Chr15,51.790676,51.790676
LOC100360791,trans_both_hotspot,1.20194247104385,124.1,95.3,1.025,2.124,Chr15,Chr15,50.896269,50.896269
Ccdc180,trans_both_hotspot,0.0715678652761475,96.0,99.2,1.386,1.675,Chr7,Chr7,59.856327,59.856327
Ooep,trans_both_hotspot,-1.4904243796476493,74.8,30.4,1.488,0.867,Chr9,Chr3,49.051196,48.171869
LOC291863,trans_both_hotspot,-2.602306938130159,101.4,81.0,1.583,2.286,Chr19,Chr19,14.059434,14.059434
Slc25a52,trans_both_hotspot,-5.1754736741883285,52.8,65.8,0.701,1.334,Chr5,Chr5,59.115211,59.115211
LOC108351291,trans_both_hotspot,-5.322075694989296,93.7,67.8,1.103,1.332,Chr5,Chr5,160.724189,161.224488
Uap1l2,trans_both_hotspot,-5.404691020997463,84.2,58.0,1.297,1.536,Chr13,Chr13,83.183593,83.183593
Hmgb1-ps28,trans_both_hotspot,-5.630560302464696,58.6,47.9,1.819,1.188,Chr12,Chr12,5.995145,5.581347
RGD1562690,trans_both_hotspot,-5.80803443913984,40.2,94.2,0.466,1.641,Chr1,Chr1,97.168285,97.168285
Fam114a1l1,trans_both_hotspot,-5.925428744415669,64.7,51.9,0.65,1.243,Chr14,Chr14,43.285791,43.285791
RGD1359290,trans_both_hotspot,-7.332145113310812,59.1,52.1,1.399,2.04,Chr18,Chr18,68.328736,68.328736
LOC681224,trans_both_hotspot,-7.449978325433763,78.5,52.1,0.934,1.529,Chr4,Chr4,25.286827,25.286827
Ephx2,trans_both_hotspot,-8.11534929488994,34.8,36.8,-0.797,-0.923,Chr15,Chr15,52.133415,35.92751
LOC102547086,trans_both_hotspot,-8.74076024586004,72.1,48.2,0.768,0.923,Chr13,Chr13,102.773533,103.716378
Rab5al1,trans_both_hotspot,-9.303119107413895,27.9,22.0,0.667,0.737,Chr9,Chr9,5.497561,5.497561
Ndufa10l1,trans_both_hotspot,-9.451606007735968,36.0,28.7,0.449,0.876,Chr9,Chr9,92.945792,92.945792
LOC103691939,trans_both_hotspot,-9.83699531996556,64.0,49.7,0.687,0.765,Chr8,Chr8,79.366724,79.366724
LOC102555453,trans_both_hotspot,-10.301055545404935,66.6,44.3,0.517,0.819,Chr3,Chr3,16.490648,16.490648
LOC120102331,trans_both_hotspot,-10.360339962287451,42.6,25.6,1.043,0.79,Chr4,Chr4,114.991264,114.991264
LOC100361025,trans_both_hotspot,-10.557772609186491,53.7,55.2,0.567,1.172,Chr1,Chr1,95.648114,95.146648
LOC103690119,trans_both_hotspot,-12.674973459105528,41.8,26.5,0.505,0.932,Chr7,Chr7,1.964338,1.964338
LOC120096223,trans_both_hotspot,-12.74993999190339,41.0,23.7,0.505,0.768,Chr15,Chr15,20.685537,20.685537
LOC100362345,trans_both_hotspot,-12.762101984467025,25.0,32.2,0.523,1.121,Chr1,Chr1,218.891118,218.891118
Rps2-ps18,trans_both_hotspot,-13.690039372476528,33.5,23.2,0.448,0.498,Chr10,Chr10,13.286123,13.286123
LOC120102191,trans_both_hotspot,-14.63380530732716,21.8,22.1,0.326,0.757,Chr7,Chr7,0.194932,0.798459
