"Index","Record","Symbol","Description","Location","Mean","Peak -logP","Peak Location","Effect Size"
"290","ENSRNOG00000042478","Adam22","ADAM metallopeptidase domain 22","Chr4: 25.716054","7.668","61.1","Chr4: 25.286406","0.567"
"23031","ENSRNOG00000031136","Ntng1","netrin G1","Chr2: 197.827680","5.885","61.0","Chr2: 196.146024","-0.710"
"15837","ENSRNOG00000069144","LOC120097004","uncharacterized LOC120097004","Chr15: 35.449433","1.746","60.9","Chr15: 35.414731","1.007"
"27752","ENSRNOG00000071249","RT1-A3","RT1 class I, locus A3","Chr20: 4.847572","10.800","60.7","Chr20: 4.680142","0.635"
"26979","UNCHAR_RGD1563400","RGD1563400","uncharacterized RGD1563400","Chr12: 18.580285","4.983","60.6","Chr12: 19.031953","-1.061"
"30118","UNCHAR_Tatdn3","Tatdn3","uncharacterized Tatdn3","Chr13: 102.649048","7.616","60.5","Chr13: 102.773533","0.499"
"10942","ENSRNOG00000074084","LOC102555661","uncharacterized LOC102555661","Chr3: 139.325803","1.607","60.0","Chr3: 138.848480","1.081"
"195","ENSRNOG00000032508","Acot5","acyl-CoA thioesterase 5","Chr6: 103.701907","1.045","59.6","Chr6: 103.587155","0.985"
"16384","UNCHAR_LOC120097800","LOC120097800","thymosin beta-10-like","Chr17: 14.135653","6.495","59.4","Chr4: 105.344429","-0.789"
"26756","UNCHAR_RGD1359290","RGD1359290","uncharacterized RGD1359290","Chr10: 92.373734","8.543","59.1","Chr18: 68.328736","1.399"
"13789","UNCHAR_LOC120094140","LOC120094140","uncharacterized LOC120094140","Chr8: 48.730792","6.770","59.0","Chr8: 48.395402","0.569"
"6861","UNCHAR_Hmgb1-ps28","Hmgb1-ps28","high-mobility group box 1, pseudogene 28","Chr16: 48.746341","3.022","58.6","Chr12: 5.995145","1.819"
"22083","ENSRNOG00000026387","Ms4a12","membrane spanning 4-domains A12","Chr1: 207.894632","5.078","58.6","Chr1: 207.840211","-1.212"
"4453","ENSRNOG00000016632","Dsg3","desmoglein 3","Chr18: 11.799354","1.439","58.5","Chr18: 12.199016","1.241"
"22922","ENSRNOG00000017820","Nqo2","N-ribosyldihydronicotinamide:quinone dehydrogenase 2","Chr17: 30.938724","7.736","58.3","Chr17: 30.819586","-0.481"
"20443","UNCHAR_LOC685453","LOC685453","uncharacterized LOC685453","Chr5: 113.944482","3.322","58.2","Chr5: 113.292868","0.755"
"19280","UNCHAR_LOC120102311","LOC120102311","uncharacterized LOC120102311","Chr4: 105.288959","4.790","58.1","Chr4: 105.344429","-0.683"
"27751","ENSRNOG00000069480","RT1-A2","RT1 class Ia, locus A2","Chr20: 4.870938","11.794","58.0","Chr20: 3.601132","0.706"
"25024","ENSRNOG00000014462_1","Pfas","farnesyltransferase, CAAX box, subunit alpha","Chr10: 53.711810","8.925","57.9","Chr10: 53.742243","-0.469"
"26134","ENSRNOG00000015072","Ptgr1","prostaglandin reductase 1","Chr5: 73.802623","7.755","57.2","Chr5: 73.809984","-0.938"
"27761","UNCHAR_RT1-CE15","RT1-CE15","RT1 class I, locus CE15","Chr20: 3.279073","8.382","57.1","Chr20: 4.680142","0.672"
"11290","UNCHAR_LOC103691157","LOC103691157","uncharacterized LOC103691157","Chr1: 121.055567","2.183","56.6","Chr1: 121.190327","-0.866"
"10683","UNCHAR_LOC102554403","LOC102554403","uncharacterized LOC102554403","Chr11: 70.656790","1.183","56.4","Chr11: 70.604547","-0.919"
"4410","ENSRNOG00000025404","Dppa4","developmental pluripotency associated 4","Chr11: 52.578778","2.165","56.3","Chr11: 52.576144","-1.098"
"21731","UNCHAR_Mir6321","Mir6321","microRNA 6321","Chr14: 19.459456","2.083","56.1","Chr14: 19.903596","0.952"
"10841","ENSRNOG00000065630","LOC102555217","zinc finger protein 120-like","Chr3: 138.595664","9.091","55.4","Chr3: 140.097827","-0.436"
"8901","UNCHAR_LOC100912427","LOC100912427","Y box binding protein 1 like 1","Chr1: 171.306091","7.897","55.3","Chr5: 133.068819","0.428"
"17729","UNCHAR_LOC120099890","LOC120099890","uncharacterized LOC120099890","Chr1: 153.484558","3.019","55.2","Chr1: 153.308472","1.095"
"16627","UNCHAR_LOC120098153","LOC120098153","uncharacterized LOC120098153","Chr18: 22.110778","1.055","55.1","Chr18: 22.039241","1.049"
"22441","ENSRNOG00000067962","Nat8f3","N-acetyltransferase 8 (GCN5-related) family member 3","Chr4: 118.246009","6.471","55.1","Chr4: 118.133979","-0.670"
"2766","ENSRNOG00000006114","Cfap69","cilia and flagella associated protein 69","Chr4: 28.379631","5.904","54.8","Chr4: 28.255022","-0.457"
"13400","UNCHAR_LOC120093590","LOC120093590","uncharacterized LOC120093590","Chr7: 50.433096","6.747","54.7","Chr7: 50.445816","-1.050"
"25254","ENSRNOG00000045626","Pkd1l2","polycystin 1 like 2","Chr19: 45.136502","4.332","54.7","Chr19: 45.316201","0.896"
"26801","UNCHAR_RGD1560017","RGD1560017","uncharacterized RGD1560017","Chr3: 91.267802","5.635","54.7","Chr18: 68.328736","2.044"
"5916","ENSRNOG00000000168","Gatm","glycine amidinotransferase","Chr3: 109.675507","8.261","54.5","Chr3: 109.270516","-0.763"
"28073","ENSRNOG00000009528","Sdcbp2","syndecan binding protein 2","Chr3: 140.060745","8.570","54.5","Chr3: 140.097827","0.453"
"1746","ENSRNOG00000064738","Btnl8","butyrophilin-like 8","Chr20: 4.264839","2.823","53.9","Chr20: 4.101122","-1.232"
"3397","ENSRNOG00000000522","Cpne5","copine 5","Chr20: 7.289308","2.726","53.9","Chr20: 7.361183","1.092"
"19432","UNCHAR_LOC120102499","LOC120102499","uncharacterized LOC120102499","Chr4: 129.420527","1.351","53.9","Chr4: 129.196723","1.111"
"8536","UNCHAR_LOC100361025","LOC100361025","uncharacterized LOC100361025","Chr14: 87.552304","6.119","53.7","Chr1: 95.648114","0.567"
"1872","ENSRNOG00000007256","C5h8orf88","similar to human chromosome 8 open reading frame 88","Chr5: 28.330166","5.442","53.6","Chr5: 28.616757","-1.357"
"9062","UNCHAR_LOC102546903","LOC102546903","uncharacterized LOC102546903","Chr12: 18.837514","2.600","53.2","Chr12: 19.031953","1.159"
"18700","ENSRNOG00000056780","LOC120101379","U1 spliceosomal RNA","Chr2: 112.190390","4.210","53.1","Chr6: 72.936638","1.155"
"23093","ENSRNOG00000004727","Nup37","nucleoporin 37","Chr7: 22.556563","7.473","53.1","Chr7: 22.632021","-0.408"
"9634","UNCHAR_LOC102549494","LOC102549494","uncharacterized LOC102549494","Chr12: 4.982436","5.745","52.9","Chr12: 4.504911","0.735"
"28659","ENSRNOG00000033251","Slc25a52","solute carrier family 25, member 52","Chr14: 45.398336","4.318","52.8","Chr5: 59.115211","0.701"
"13125","UNCHAR_LOC120093158","LOC120093158","uncharacterized LOC120093158","Chr2: 91.501917","4.342","52.6","Chr2: 90.622770","0.587"
"15511","UNCHAR_LOC120096582","LOC120096582","uncharacterized LOC120096582","Chr14: 17.483031","1.865","52.5","Chr14: 18.063211","-0.906"
"6790","ENSRNOG00000003464","Hid1","HID1 domain containing","Chr10: 100.610049","10.153","52.3","Chr10: 100.351953","-0.571"
"28217","ENSRNOG00000042634","Serpina12","serpin family A member 12","Chr6: 122.967270","9.872","52.3","Chr6: 123.067730","-1.632"
"27766","ENSRNOG00000071226","RT1-CE5","RT1 class I, locus CE5","Chr20: 3.479475","11.786","52.2","Chr20: 3.601132","0.492"
"18235","UNCHAR_LOC120100680","LOC120100680","uncharacterized LOC120100680","Chr2: 29.788923","1.992","52.1","Chr2: 30.036105","-0.930"
"26840","UNCHAR_RGD1560860","RGD1560860","uncharacterized RGD1560860","Chr17: 54.808183","1.365","52.1","Chr17: 54.649901","1.016"
"29554","ENSRNOG00000000172","Sqor","sulfide quinone oxidoreductase","Chr3: 109.841224","9.017","52.1","Chr3: 108.634297","-0.509"
"4939","ENSRNOG00000026323","Eqtn","equatorin","Chr5: 109.762047","6.962","51.7","Chr5: 109.530252","0.389"
"17166","UNCHAR_LOC120098896","LOC120098896","uncharacterized LOC120098896","Chr20: 4.865697","7.514","51.6","Chr20: 3.601132","0.619"
"9439","UNCHAR_LOC102548553","LOC102548553","uncharacterized LOC102548553","Chr4: 72.088277","4.179","51.5","Chr4: 71.606853","-0.761"
"1975","ENSRNOG00000013260","Calr3","calreticulin 3","Chr16: 17.396088","7.043","51.4","Chr16: 17.484384","0.430"
"29038","ENSRNOG00000066945","Smpdl3a","sphingomyelin phosphodiesterase, acid-like 3A","Chr20: 37.132591","11.135","51.4","Chr20: 37.180412","-0.473"
"10553","UNCHAR_LOC102553770","LOC102553770","uncharacterized LOC102553770","Chr2: 31.068284","1.320","51.1","Chr2: 31.931397","-1.258"
"26092","ENSRNOG00000000925","Psph","phosphoserine phosphatase","Chr12: 26.882523","7.999","51.0","Chr12: 27.015140","0.412"
"8818","UNCHAR_LOC100911367","LOC100911367","uncharacterized LOC100911367","Chr18: 31.252491","1.461","50.8","Chr18: 31.650799","1.425"
"11018","UNCHAR_LOC102556043","LOC102556043","zinc finger protein 431 like 12","Chr1: 93.655246","1.360","50.6","Chr1: 93.830128","0.938"
"15547","UNCHAR_LOC120096622","LOC120096622","uncharacterized LOC120096622","Chr14: 66.834087","2.917","50.5","Chr14: 66.887304","0.930"
"3967","ENSRNOG00000057125","Ddr1","discoidin domain receptor tyrosine kinase 1","Chr20: 3.042493","8.326","50.3","Chr20: 2.687516","-0.643"
"9531","UNCHAR_LOC102549007","LOC102549007","uncharacterized LOC102549007","Chr3: 164.291121","2.027","50.2","Chr3: 164.153483","-1.166"
"9113","UNCHAR_LOC102547177","LOC102547177","uncharacterized LOC102547177","Chr1: 156.162118","2.774","50.1","Chr1: 156.192687","0.985"
"20373","UNCHAR_LOC680933","LOC680933","uncharacterized LOC680933","Chr6: 0.192191","7.455","50.0","Chr7: 0.798459","-0.454"
"6557","ENSRNOG00000069498","Gvinp1","GTPase, very large interferon inducible 1","Chr1: 160.203002","3.854","49.8","Chr1: 161.575647","1.362"
"1874","ENSRNOG00000024115","C6","complement C6","Chr2: 53.846027","13.382","49.7","Chr2: 54.732908","0.588"
"21859","ENSRNOG00000086807","Mmp24os","MMP24 opposite strand","Chr3: 144.324448","9.682","49.4","Chr3: 144.547298","0.372"
"24703","ENSRNOG00000002035","Paqr3","progestin and adipoQ receptor family member 3","Chr14: 12.462567","8.391","49.4","Chr14: 12.809827","0.464"
"30731","ENSRNOG00000031348","Tmem232","transmembrane protein 232","Chr9: 105.115736","2.032","49.4","Chr9: 105.308155","-1.103"
"2125","ENSRNOG00000049693","Cbr1l2","carbonyl reductase 1 like 2","Chr11: 32.892639","9.084","49.3","Chr11: 33.102109","-2.285"
"6668","UNCHAR_Hbb-b1","Hbb-b1","hemoglobin, beta adult major chain","Chr1: 158.231674","10.524","49.3","Chr1: 158.468568","1.123"
"3632","ENSRNOG00000016496","Ctsc","cathepsin C","Chr1: 142.028385","10.563","49.2","Chr1: 142.042856","-0.529"
"8700","UNCHAR_LOC100909671","LOC100909671","uncharacterized LOC100909671","Chr10: 100.126303","4.984","49.1","Chr10: 99.846935","0.975"
"27794","UNCHAR_RT1-T24-2","RT1-T24-2","RT1 class I, locus T24, gene 2","Chr20: 2.738658","6.224","49.1","Chr20: 2.611182","0.592"
"30583","ENSRNOG00000000033","Tmcc2","transmembrane and coiled-coil domain family 2","Chr13: 43.831715","7.431","48.9","Chr1: 231.862988","0.909"
"5171","ENSRNOG00000021693","Fam149a","family with sequence similarity 149, member A","Chr16: 46.855376","8.533","48.8","Chr16: 46.596353","-0.390"
"17201","UNCHAR_LOC120098942","LOC120098942","uncharacterized LOC120098942","Chr20: 44.943037","0.670","48.7","Chr20: 44.128952","-1.054"
"27790","ENSRNOG00000032664","RT1-S2","RT1 class Ib, locus S2","Chr20: 2.650232","1.166","48.3","Chr20: 2.611182","0.983"
"1394","ENSRNOG00000061346","B3glct","beta 3-glucosyltransferase","Chr12: 5.346806","8.748","48.2","Chr12: 5.017960","0.374"
"1744","UNCHAR_Btnl5","Btnl5","butyrophilin-like 5","Chr20: 4.366779","0.831","48.2","Chr20: 4.679209","-1.076"
"3570","ENSRNOG00000005195","Cst3","cystatin C","Chr3: 136.340795","13.127","48.2","Chr3: 136.490118","-0.469"
"10807","ENSRNOG00000071122","LOC102555043","uncharacterized LOC102555043","Chr13: 102.802660","2.883","48.2","Chr13: 101.534140","-0.856"
"26236","ENSRNOG00000016975","Pxmp4","peroxisomal membrane protein 4","Chr3: 143.110619","7.255","47.9","Chr3: 142.720320","-0.481"
"26952","UNCHAR_RGD1562844","RGD1562844","uncharacterized RGD1562844","Chr17: 31.386217","0.496","47.6","Chr17: 31.438420","-0.751"
"340","UNCHAR_Adat2","Adat2","adenosine deaminase, tRNA-specific 2","Chr1: 7.954519","6.883","47.4","Chr1: 7.181875","0.472"
"6867","ENSRNOG00000011193","Hmgcll1","3-hydroxy-3-methylglutaryl-CoA lyase like 1","Chr8: 76.757300","4.885","47.3","Chr8: 77.002080","0.652"
"16079","UNCHAR_LOC120097360","LOC120097360","uncharacterized LOC120097360","Chr1: 196.090053","3.402","47.2","Chr1: 196.761300","-0.728"
"27405","ENSRNOG00000056116","Rnu1-39","RNA, U1 small nuclear 39","Chr3: 136.257920","1.758","47.1","Chr6: 72.936638","1.038"
"6830","UNCHAR_Hist2h2aa2","Hist2h2aa2","histone cluster 2 H2A family member A2","Chr2: 183.801890","8.127","47.0","Chr2: 183.798575","1.587"
"1870","ENSRNOG00000026169","C5h1orf87","similar to human chromosome 1 open reading frame 87","Chr5: 111.411575","1.240","46.8","Chr5: 111.411343","-0.885"
"26657","ENSRNOG00000014090","Retsat","retinol saturase","Chr4: 104.653305","15.233","46.6","Chr4: 104.785882","-0.480"
"3422","ENSRNOG00000015902","Cpxm2","carboxypeptidase X (M14 family), member 2","Chr1: 186.947221","9.134","46.5","Chr1: 186.963051","-0.735"
"14097","UNCHAR_LOC120094596","LOC120094596","uncharacterized LOC120094596","Chr9: 0.413569","1.993","46.5","Chr7: 0.194932","0.929"
"18725","UNCHAR_LOC120101456","LOC120101456","uncharacterized LOC120101456","Chr3: 110.284853","3.518","46.5","Chr2: 122.277665","0.869"
"11759","UNCHAR_LOC103694354","LOC103694354","uncharacterized LOC103694354","Chr19: 50.620703","5.317","46.4","Chr19: 50.602551","-0.582"
"6497","ENSRNOG00000001242","Gstt3","glutathione S-transferase, theta 3","Chr20: 12.875183","10.729","46.3","Chr20: 12.773685","1.020"
"11194","UNCHAR_LOC103690428","LOC103690428","uncharacterized LOC103690428","Chr7: 90.389901","3.054","46.3","Chr7: 90.263240","-0.947"
"30702","ENSRNOG00000047783","Tmem200a","transmembrane protein 200A","Chr1: 19.323645","3.543","46.3","Chr1: 19.651811","-1.080"
"6399","ENSRNOG00000024651","Greb1","growth regulating estrogen receptor binding 1","Chr6: 39.562363","6.173","46.0","Chr6: 39.599091","1.064"
"19835","UNCHAR_LOC120103114","LOC120103114","uncharacterized LOC120103114","Chr5: 112.442855","6.312","46.0","Chr5: 112.457794","-0.421"
"21086","ENSRNOG00000090872","Map6d1","MAP6 domain containing 1","Chr11: 80.734147","5.378","46.0","Chr11: 81.008767","0.768"
"18863","UNCHAR_LOC120101645","LOC120101645","uncharacterized LOC120101645","Chr3: 109.684141","2.076","45.8","Chr3: 109.771053","-1.050"
"27122","UNCHAR_RGD1566006","RGD1566006","uncharacterized RGD1566006","Chr12: 17.732680","3.926","45.8","Chr12: 19.031953","0.811"
"13132","UNCHAR_LOC120093165","LOC120093165","uncharacterized LOC120093165","Chr2: 52.023028","4.391","45.7","Chr2: 52.627302","-1.195"
"21248","ENSRNOG00000032813","Mdc1","mediator of DNA damage checkpoint 1","Chr20: 2.912393","7.957","45.6","Chr20: 2.611182","-0.417"
"33610","ENSRNOG00000057989","Zp2","zona pellucida glycoprotein 2","Chr1: 174.525287","2.044","45.4","Chr1: 174.151110","-1.158"
"10348","UNCHAR_LOC102552725","LOC102552725","uncharacterized LOC102552725","Chr11: 25.048702","9.110","45.3","Chr11: 25.911036","0.398"
"14322","ENSRNOG00000057331","LOC120094884","U1 spliceosomal RNA","Chr9: 1.931715","2.120","45.3","Chr6: 72.936638","1.178"
"1646","ENSRNOG00000017577","Bphl","biphenyl hydrolase like","Chr17: 30.837276","9.161","45.1","Chr17: 30.819586","0.445"
"4273","ENSRNOG00000015581","Dnah6","dynein, axonemal, heavy chain 6","Chr4: 105.284360","5.661","45.1","Chr4: 105.344429","-0.623"
"26887","UNCHAR_RGD1561730","RGD1561730","uncharacterized RGD1561730","Chr12: 18.216470","3.857","45.1","Chr12: 19.031953","-0.892"
"11140","UNCHAR_LOC102557269","LOC102557269","uncharacterized LOC102557269","Chr5: 49.791190","3.075","45.0","Chr5: 49.912070","0.786"
"6495","ENSRNOG00000049771","Gstt1","glutathione S-transferase theta 1","Chr20: 12.856612","9.217","44.9","Chr20: 13.278239","-0.528"
"10056","UNCHAR_LOC102551372","LOC102551372","uncharacterized LOC102551372","Chr5: 21.749063","6.156","44.8","Chr5: 20.965022","0.544"
"9613","UNCHAR_LOC102549403","LOC102549403","uncharacterized LOC102549403","Chr7: 50.423294","3.339","44.7","Chr7: 50.445816","-0.992"
"12645","UNCHAR_LOC108351885","LOC108351885","uncharacterized LOC108351885","Chr9: 10.025220","3.910","44.7","Chr9: 9.211178","-0.762"
"26322","ENSRNOG00000008001","Rab3b","RAB3B, member RAS oncogene family","Chr5: 123.629561","7.623","44.7","Chr5: 122.524709","0.943"
"1166","ENSRNOG00000059765","Asic1","acid sensing ion channel subunit 1","Chr7: 130.798316","3.788","44.6","Chr7: 131.242066","0.706"
"10848","UNCHAR_LOC102555240","LOC102555240","uncharacterized LOC102555240","Chr10: 0.990682","2.104","44.5","Chr10: 1.082663","0.803"
"28443","ENSRNOG00000021474","Siglec5","sialic acid binding Ig-like lectin 5","Chr1: 93.768189","9.046","44.5","Chr1: 92.967471","-0.585"
"8127","ENSRNOG00000070593","Krtap16-1","keratin associated protein 16-1","Chr10: 84.916983","1.537","44.4","Chr10: 84.798077","-1.345"
"20858","ENSRNOG00000003244","Ltc4s","leukotriene C4 synthase","Chr10: 34.562789","6.783","44.4","Chr10: 34.244081","-0.593"
"4128","ENSRNOG00000082925","Dhfr","dihydrofolate reductase","Chr2: 23.585875","5.485","44.3","Chr2: 24.478320","0.496"
"28232","ENSRNOG00000002583","Serpinb11","serpin family B member 11","Chr13: 23.304774","0.389","44.0","Chr13: 23.525450","0.663"
"24281","ENSRNOG00000077027","Or6n2","olfactory receptor family 6 subfamily N member 2","Chr13: 86.076856","3.247","43.9","Chr13: 86.622151","0.725"
"11641","ENSRNOG00000066982","LOC103693502","zinc finger protein 431-like","Chr9: 113.729582","6.629","43.7","Chr9: 113.311047","0.445"
"27113","UNCHAR_RGD1565779","RGD1565779","uncharacterized RGD1565779","Chr18: 28.295203","1.921","43.7","Chr18: 29.534165","-1.387"
"6093","ENSRNOG00000007561","Glb1l2","galactosidase, beta 1-like 2","Chr8: 25.166842","2.038","43.6","Chr8: 25.570084","-0.976"
"7399","ENSRNOG00000012375","Inpp1","inositol polyphosphate-1-phosphatase","Chr9: 48.688036","9.392","43.3","Chr9: 48.546520","-0.409"
"12677","UNCHAR_LOC108351976","LOC108351976","uncharacterized LOC108351976","Chr9: 98.857960","4.184","43.3","Chr9: 97.359745","-0.803"
"20206","UNCHAR_LOC259244","LOC259244","uncharacterized LOC259244","Chr5: 74.912889","2.347","43.3","Chr5: 74.310359","1.319"
"1743","ENSRNOG00000068088","Btnl4","butyrophilin-like 4","Chr20: 4.231349","0.714","43.2","Chr20: 4.679209","-1.004"
"25023","ENSRNOG00000028015","Pf4","platelet factor 4","Chr14: 17.299219","7.980","42.9","Chr14: 17.530689","-0.472"
"9389","UNCHAR_LOC102548352","LOC102548352","uncharacterized LOC102548352","Chr8: 118.817450","4.986","42.8","Chr8: 118.892957","-0.555"
"10490","UNCHAR_LOC102553457","LOC102553457","uncharacterized LOC102553457","Chr1: 20.935165","3.386","42.8","Chr1: 21.009060","-0.641"
"26771","UNCHAR_RGD1559588","RGD1559588","uncharacterized RGD1559588","Chr12: 17.398843","4.169","42.8","Chr12: 17.449158","1.049"
"23325","ENSRNOG00000016768","Oprl1","opioid related nociceptin receptor 1","Chr3: 168.831933","0.962","42.7","Chr3: 168.114441","0.772"
"19297","ENSRNOG00000077167","LOC120102331","uncharacterized LOC120102331","Chr4: 120.366388","3.743","42.6","Chr4: 114.991264","1.043"
"12495","UNCHAR_LOC108351294","LOC108351294","uncharacterized LOC108351294","Chr6: 122.953903","2.774","42.5","Chr6: 123.067730","-1.296"
"12953","UNCHAR_LOC108352885","LOC108352885","uncharacterized LOC108352885","Chr15: 9.951774","6.013","42.5","Chr15: 10.208703","-0.562"
"27130","UNCHAR_RGD1566099","RGD1566099","uncharacterized RGD1566099","Chr13: 50.418973","5.758","42.5","Chr13: 50.307539","0.369"
"30916","ENSRNOG00000014464","Tnfsf13b","TNF superfamily member 13b","Chr16: 79.492887","6.608","42.5","Chr16: 79.457688","0.524"
"11993","UNCHAR_LOC108348977","LOC108348977","uncharacterized LOC108348977","Chr19: 54.622765","1.942","42.4","Chr19: 54.681161","-0.809"
"18943","UNCHAR_LOC120101770","LOC120101770","protein NDRG3-like","Chr3: 145.584912","3.071","42.3","Chr3: 145.190228","1.268"
"1857","ENSRNOG00000004062","C4bpa","complement component 4 binding protein, alpha","Chr13: 42.111204","7.991","42.2","Chr13: 42.434735","0.705"
"2446","ENSRNOG00000006604_2","Cd7","Thy-1 cell surface antigen","Chr10: 106.306962","4.517","42.2","Chr10: 105.235480","-0.944"
"17843","UNCHAR_LOC120100024","LOC120100024","uncharacterized LOC120100024","Chr1: 233.599641","7.516","42.1","Chr1: 233.311150","-0.393"
"5672","ENSRNOG00000042605","Fpr2","formyl peptide receptor 2","Chr1: 58.776591","1.666","41.9","Chr1: 58.660722","-0.956"
"3619","ENSRNOG00000010649","Ctnnd2","catenin delta 2","Chr2: 81.168524","6.224","41.8","Chr2: 81.456230","0.898"
"11172","UNCHAR_LOC103690119","LOC103690119","uncharacterized LOC103690119","Chr7: 7.548917","6.566","41.8","Chr7: 1.964338","0.505"
"7052","ENSRNOG00000047966","Hspa1l","heat shock protein family A (Hsp70) member 1 like","Chr20: 3.851325","4.982","41.6","Chr20: 3.601132","0.768"
"17195","UNCHAR_LOC120098934","LOC120098934","uncharacterized LOC120098934","Chr20: 7.369460","4.212","41.5","Chr20: 6.858809","-0.599"
"25806","ENSRNOG00000012486","Prim2","DNA primase subunit 2","Chr9: 35.904520","6.192","41.4","Chr9: 35.390780","-0.464"
"28392","ENSRNOG00000011357","Shbg","sex hormone binding globulin","Chr10: 54.350408","5.291","41.4","Chr10: 54.389422","-0.544"
"13035","UNCHAR_LOC108353253","LOC108353253","uncharacterized LOC108353253","Chr20: 3.260747","9.157","41.3","Chr20: 3.210100","-0.582"
"12931","UNCHAR_LOC108352809","LOC108352809","uncharacterized LOC108352809","Chr14: 95.020004","2.457","41.1","Chr14: 95.007131","0.896"
"10356","UNCHAR_LOC102552767","LOC102552767","uncharacterized LOC102552767","Chr15: 11.906056","3.013","41.0","Chr15: 11.837354","0.817"
"15264","UNCHAR_LOC120096223","LOC120096223","uncharacterized LOC120096223","Chr13: 10.007429","4.468","41.0","Chr15: 20.685537","0.505"
"22440","ENSRNOG00000069710","Nat8f2","N-acetyltransferase 8 (GCN5-related) family member 2","Chr4: 118.323158","2.215","41.0","Chr4: 118.133979","0.970"
"37","ENSRNOG00000039494","Aass","aminoadipate-semialdehyde synthase","Chr4: 51.663135","3.445","40.9","Chr4: 52.192420","0.925"
"3782","UNCHAR_Cyp2d5","Cyp2d5","uncharacterized Cyp2d5","Chr7: 113.904457","3.274","40.8","Chr7: 113.822112","1.062"
"27053","UNCHAR_RGD1564786","RGD1564786","uncharacterized RGD1564786","Chr17: 31.068701","3.150","40.5","Chr17: 31.438420","0.672"
"27768","UNCHAR_RT1-CE7","RT1-CE7","RT1 class I, locus CE7","Chr20: 3.434258","1.034","40.5","Chr20: 6.357718","2.196"
"9931","UNCHAR_LOC102550849","LOC102550849","uncharacterized LOC102550849","Chr5: 73.956548","2.596","40.4","Chr5: 73.810363","-0.703"
"32521","UNCHAR_Vdac1-ps11","Vdac1-ps11","voltage-dependent anion channel 1, pseudogene 11","Chr18: 50.003240","5.071","40.4","Chr18: 49.764351","1.020"
"2749","ENSRNOG00000043410","Cfap300","cilia and flagella associated protein 300","Chr8: 5.198839","5.769","40.3","Chr8: 4.162938","-0.447"
"17588","UNCHAR_LOC120099587","LOC120099587","uncharacterized LOC120099587","ChrY: 12.161298","4.983","40.3","Chr1: 143.735958","-0.506"
"5613","ENSRNOG00000007660","Fntb","farnesyltransferase, CAAX box, subunit beta","Chr6: 95.536614","7.015","40.2","Chr6: 95.470641","-0.441"
"6411","ENSRNOG00000006957","Gria4","glutamate ionotropic receptor AMPA type subunit 4","Chr8: 2.035034","4.214","40.2","Chr8: 1.532979","1.022"
"11629","UNCHAR_LOC103693420","LOC103693420","uncharacterized LOC103693420","Chr10: 78.711665","8.405","40.2","Chr4: 105.344429","-0.797"
"26944","UNCHAR_RGD1562690","RGD1562690","uncharacterized RGD1562690","Chr8: 30.363219","8.060","40.2","Chr1: 97.168285","0.466"
"3123","ENSRNOG00000010149","Cmc1","C-x(9)-C motif containing 1","Chr8: 117.900457","7.426","40.1","Chr8: 117.689838","0.409"
"11174","ENSRNOG00000047682","LOC103690152","disintegrin and metalloproteinase domain-containing protein 21-like","Chr6: 101.265827","3.326","40.1","Chr6: 100.909467","-0.672"
"26831","ENSRNOG00000042726","RGD1560775","similar to RIKEN cDNA 4930579C12 gene","Chr8: 89.716766","1.775","40.1","Chr8: 89.699592","0.922"
"28287","ENSRNOG00000025612","Sez6l","seizure related 6 homolog like","Chr12: 44.064900","1.538","40.1","Chr12: 43.066301","1.508"
"1980","ENSRNOG00000017882","Camk1d","calcium/calmodulin-dependent protein kinase ID","Chr17: 72.581898","7.719","40.0","Chr17: 72.549821","0.417"
"25312","ENSRNOG00000010516","Plau","plasminogen activator, urokinase","Chr15: 3.462731","9.404","40.0","Chr15: 3.436152","0.524"
"29462","ENSRNOG00000013116","Spink5","serine peptidase inhibitor, Kazal type 5","Chr18: 36.264451","1.173","39.9","Chr18: 35.289721","-1.159"
"31151","ENSRNOG00000015347","Trim45","tripartite motif-containing 45","Chr2: 188.349978","4.976","39.9","Chr2: 187.994697","-0.487"
"3793","ENSRNOG00000011053","Cyp2u1","cytochrome P450, family 2, subfamily u, polypeptide 1","Chr2: 219.866958","8.326","39.8","Chr2: 219.970144","0.356"
"29088","ENSRNOG00000055018","Snora26","small nucleolar RNA, H/ACA box 26","Chr14: 34.127759","0.897","39.6","Chr14: 33.884771","-1.461"
"10934","UNCHAR_LOC102555623","LOC102555623","uncharacterized LOC102555623","Chr2: 226.558531","4.097","39.5","Chr2: 226.753542","-0.633"
"12434","UNCHAR_LOC108351105","LOC108351105","uncharacterized LOC108351105","Chr5: 128.430903","5.641","39.5","Chr5: 128.754736","-0.689"
"24521","ENSRNOG00000064999","Ormdl1","ORMDL sphingolipid biosynthesis regulator 1","Chr9: 48.253308","8.063","39.4","Chr9: 48.046200","0.345"
"8173","ENSRNOG00000025273","L3mbtl4","L3MBTL histone methyl-lysine binding protein 4","Chr9: 108.295003","6.125","39.1","Chr9: 107.121395","0.685"
"7510","ENSRNOG00000011533","Irx3","iroquois homeobox 3","Chr19: 15.211881","3.339","39.0","Chr19: 14.762585","0.976"
"11086","UNCHAR_LOC102556463","LOC102556463","uncharacterized LOC102556463","Chr9: 114.045240","7.941","39.0","Chr9: 113.311047","0.387"
